!omamer-version: 2.1.0
!query-md5: b1022a2eef4c4ef7c94a073929431510
!date-run: 2025-08-14T14:31:03.907264
!db-path: omamer_databases/Saccharomyceta.h5
!db-info-source: OMA / All.Jul2024
!db-info-root_level: saccharomyceta
!db-info-database_hash: cff59319f81d8a72e30d5c49daa09a9a
qseqid	hogid	hoglevel	family_p	family_count	family_normcount	subfamily_score	subfamily_count	qseqlen	subfamily_medianseqlen	qseq_overlap
tr|A0A0K0PSX6|A0A0K0PSX6_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	136	N/A	N/A
tr|A0A0K0PSX7|A0A0K0PSX7_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	360	N/A	N/A
tr|A0A0K0PSX8|A0A0K0PSX8_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	214	N/A	N/A
tr|A0A0K0PSX9|A0A0K0PSX9_SCLS1	HOG:E0480908	saccharomyceta	61.34968895580883	13	0.031349857627351235	N/A	N/A	420	270	0.5704057279236276
tr|A0A0K0PSY2|A0A0K0PSY2_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	384	N/A	N/A
tr|A0A0K0PSY3|A0A0K0PSY3_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	323	N/A	N/A
tr|A0A0K0PSY4|A0A0K0PSY4_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	272	N/A	N/A
tr|A0A0K0PSY7|A0A0K0PSY7_SCLS1	HOG:E1028948	saccharomyceta	1478.0433652395056	186	0.5040225127688095	0.5040604076175771	186	375	356	0.8449197860962567
tr|A0A0K0PSY8|A0A0K0PSY8_SCLS1	HOG:E1027880.6b	saccharomyceta	76.9530043822277	17	0.05017943694603982	N/A	N/A	344	534	0.08163265306122448
tr|A0A0K0PSY9|A0A0K0PSY9_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	264	N/A	N/A
tr|A0A0K0PSZ1|A0A0K0PSZ1_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1001	N/A	N/A
tr|A0A0K0PSZ3|A0A0K0PSZ3_SCLS1	HOG:E0801468.10fyp	saccharomyceta	2132.377618863358	273	0.5639985945378422	0.564043348796257	273	490	448	0.8936605316973415
tr|A0A0K0PSZ4|A0A0K0PSZ4_SCLS1	HOG:E0480908.2a	Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell)	122.90168222047889	19	0.1366450945823716	0.1037027006113455	14	145	330	0.5902777777777778
tr|A0A0K0PSZ8|A0A0K0PSZ8_SCLS1	HOG:E0480908	saccharomyceta	14.87822051388699	5	0.018130012111406225	N/A	N/A	281	270	0.18571428571428572
tr|A0A0K0PT01|A0A0K0PT01_SCLS1	HOG:E1029516.2b	saccharomyceta	908.6324897029847	105	0.6363427206850066	0.6363589500415254	105	171	250	0.8941176470588236
tr|A0A0K0PT03|A0A0K0PT03_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	753	N/A	N/A
tr|A0A0K0PT83|A0A0K0PT83_SCLS1	HOG:E0801468.10no	saccharomyceta	65.57250760575114	15	0.07793183055521785	N/A	N/A	198	494	0.4263959390862944
tr|A0A0K0PT87|A0A0K0PT87_SCLS1	HOG:E0480908	saccharomyceta	24.222478795091067	7	0.01681559445693689	N/A	N/A	421	270	0.46190476190476193
tr|A0A0K0PT92|A0A0K0PT92_SCLS1	HOG:E0480908	saccharomyceta	43.08250714822704	10	0.025922631062902997	N/A	N/A	392	270	0.4296675191815857
tr|A0A0K0PT96|A0A0K0PT96_SCLS1	HOG:E0469572	leotiomyceta	110.17065380352615	24	0.04516746806775469	N/A	N/A	536	380	0.9065420560747663
tr|A0A0K0PT99|A0A0K0PT99_SCLS1	HOG:E1027880.6b	saccharomyceta	2018.9176276095975	257	0.6004183123461089	0.6004597320456398	257	434	534	0.9399538106235565
tr|A0A0K0PTA4|A0A0K0PTA4_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	451	N/A	N/A
tr|A0A0K0PTA9|A0A0K0PTA9_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	214	N/A	N/A
tr|A0A0K0PTB2|A0A0K0PTB2_SCLS1	HOG:E0805724	saccharomyceta	711.632708992452	98	0.3367054475509605	0.33676368760674114	98	297	256	0.8108108108108109
tr|A0A0K0PTB7|A0A0K0PTB7_SCLS1	HOG:E0813597.2b	saccharomyceta	715.6454222345238	80	0.5405254951874836	0.54053827104408	80	154	135	0.7712418300653595
tr|A0A0K0PTZ7|A0A0K0PTZ7_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	233	N/A	N/A
tr|A0A0K0PU01|A0A0K0PU01_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	194	N/A	N/A
tr|A0A0K0PU05|A0A0K0PU05_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	345	N/A	N/A
tr|A0A0K0PU07|A0A0K0PU07_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	188	N/A	N/A
tr|A0A0K0PU09|A0A0K0PU09_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	315	N/A	N/A
tr|A0A0K0PU11|A0A0K0PU11_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	226	N/A	N/A
tr|A0A0K0PU14|A0A0K0PU14_SCLS1	HOG:E0813592.7a	saccharomyceta	1676.5243014446937	204	0.5844934813654397	0.5845215374852305	204	355	385	0.9519774011299436
tr|A0A0K0PU19|A0A0K0PU19_SCLS1	HOG:E0424670	Dothideomycetes	61.62100418032921	9	0.2092762947693562	0.20930075511492205	9	49	101	1.0
tr|A0A0K0PU24|A0A0K0PU24_SCLS1	HOG:E0801468.10no	saccharomyceta	1408.6670910017278	211	0.37665512612837004	0.3767754545316881	211	566	494	0.984070796460177
tr|A7E3X9|A7E3X9_SCLS1	HOG:E1027830.3a	saccharomyceta	2361.131864380228	364	1.0	0.9999212164992543	364	370	476	1.0
tr|A7E3Y0|A7E3Y0_SCLS1	HOG:E0803558	saccharomyceta	5662.554422741928	960	1.0	0.9998537271915293	960	966	1065	1.0
tr|A7E3Y1|A7E3Y1_SCLS1	HOG:E0801643.10f	saccharomyceta	2227.37246071996	297	1.0	0.9999848125547641	297	303	334	1.0
tr|A7E3Y2|A7E3Y2_SCLS1	HOG:E0442834	Leotiomycetes	2274.390289998379	254	1.0	0.9999966114286275	254	260	262	1.0
tr|A7E3Y3|A7E3Y3_SCLS1	HOG:E0802461.7c.36b	saccharomyceta	1960.9644744929185	244	1.0	0.9999857592231771	244	250	251	1.0
tr|A7E3Y4|A7E3Y4_SCLS1	HOG:E0477518	saccharomyceta	1991.3876797175778	316	1.0	0.9999024147868654	316	322	367	1.0
tr|A7E3Y5|A7E3Y5_SCLS1	HOG:E0793466.1e	saccharomyceta	2532.851667228833	407	1.0	0.9999232916465703	407	413	449	1.0
tr|A7E3Y6|A7E3Y6_SCLS1	HOG:E0466155	leotiomyceta	2829.883924522116	427	1.0	0.9999351218670699	427	433	555	1.0
tr|A7E3Y7|A7E3Y7_SCLS1	HOG:E0481354	saccharomyceta	1955.812532599612	254	1.0	0.9999838658863511	254	260	290	1.0
tr|A7E3Y8|A7E3Y8_SCLS1	HOG:E0464468.1a	Leotiomycetes	1680.1151002483516	196	1.0	0.9999979029100386	133	202	164	1.0
tr|A7E3Y9|A7E3Y9_SCLS1	HOG:E0442833	Leotiomycetes	1070.524891703145	101	1.0	0.9999991316981774	101	107	106	1.0
tr|A7E3Z0|A7E3Z0_SCLS1	HOG:E0803122.1a.1a	saccharomyceta	2802.3398557457786	473	1.0	0.9998899450949875	473	479	716	1.0
tr|A7E3Z1|A7E3Z1_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	117	N/A	N/A
tr|A7E3Z2|A7E3Z2_SCLS1	HOG:E0464181	sordariomyceta	3583.054795281473	497	1.0	0.999959826151054	497	503	504	1.0
tr|A7E3Z3|A7E3Z3_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	66	N/A	N/A
sp|A7E3Z4|ENOPH_SCLS1	HOG:E1034214.2b	saccharomyceta	741.4384242202685	133	0.5336797558601936	0.5340936075624808	133	255	239	0.8582677165354331
tr|A7E3Z5|A7E3Z5_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	98	N/A	N/A
tr|A7E3Z6|A7E3Z6_SCLS1	HOG:E0474692	Pezizomycotina	2650.7822245062403	423	1.0	0.9999162135761178	423	429	639	1.0
tr|A7E3Z7|A7E3Z7_SCLS1	HOG:E1033104.5a	saccharomyceta	4189.335019675133	680	1.0	0.99989384461653	680	686	688	1.0
tr|A7E3Z8|A7E3Z8_SCLS1	HOG:E0475115.3b	sordariomyceta	2664.7615768239125	442	1.0	0.9999617947198071	307	448	674	1.0
tr|A7E3Z9|A7E3Z9_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	51	N/A	N/A
tr|A7E400|A7E400_SCLS1	HOG:E0803518.3b.1a	saccharomyceta	1849.6782398913915	285	1.0	0.999928062604599	285	291	291	1.0
tr|A7E401|A7E401_SCLS1	HOG:E0801907.3p	saccharomyceta	1209.56315884481	149	1.0	0.9999868218741442	149	155	153	1.0
tr|A7E402|A7E402_SCLS1	HOG:E0806990.2a	saccharomyceta	739.1527487554908	92	1.0	0.9999834709187351	92	98	91	1.0
tr|A7E403|A7E403_SCLS1	HOG:E0475114	Pezizomycotina	3693.7188175199694	587	1.0	0.9999192291225196	587	596	646	1.0
tr|A7E404|A7E404_SCLS1	HOG:E0805057.5b	saccharomyceta	751.4079755447382	97	1.0	0.9999848407667368	97	103	102	1.0
tr|A7E405|A7E405_SCLS1	HOG:E0803693.4f.18b	saccharomyceta	921.733614724042	115	1.0	0.9999889158294418	115	121	117	1.0
tr|A7E406|A7E406_SCLS1	HOG:E0466621	leotiomyceta	2729.928020782736	416	1.0	0.9999538859634954	416	422	464	1.0
tr|A7E407|A7E407_SCLS1	HOG:E0465896.1a	sordariomyceta	2061.0984446987513	281	1.0	0.9999972603039967	149	287	277	1.0
tr|A7E408|A7E408_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	34	N/A	N/A
tr|A7E409|A7E409_SCLS1	HOG:E0479371	saccharomyceta	2365.287226926684	272	1.0	0.999993592747562	272	278	234	1.0
tr|A7E410|A7E410_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	55	N/A	N/A
tr|A7E411|A7E411_SCLS1	HOG:E0475462.2a.1a	Helotiales	2282.0742588200433	405	1.0	0.999997717964885	341	411	452	1.0
tr|A7E412|A7E412_SCLS1	HOG:E0474911	Pezizomycotina	279.5266978553269	50	0.7138984379454137	0.7142375062939119	50	76	348	0.8266666666666667
tr|A7E413|A7E413_SCLS1	HOG:E0474911	Pezizomycotina	286.5485733990087	58	0.4523837288798936	0.45307679200819767	58	134	348	1.0
tr|A7E414|A7E414_SCLS1	HOG:E0831377	saccharomyceta	560.4053282923883	66	1.0	0.9999947745157466	66	72	71	1.0
tr|A7E415|A7E415_SCLS1	HOG:E0803460.3b	saccharomyceta	1625.0882587247725	240	1.0	0.9999646566676915	240	246	247	1.0
tr|A7E416|A7E416_SCLS1	HOG:E0465975	leotiomyceta	2087.393274510339	302	1.0	0.9999571052630324	302	308	285	1.0
tr|A7E417|A7E417_SCLS1	HOG:E0472518.2i.10c	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1)	52.97685575732835	17	0.24080978628505656	0.24285659115634586	17	76	1636	0.48
tr|A7E418|A7E418_SCLS1	HOG:E1034864.2h.12b.19d	sordariomyceta	2838.3054486271967	398	1.0	0.9999982571270276	316	404	394	1.0
tr|A7E419|A7E419_SCLS1	HOG:E0464119.1a	Leotiomycetes	2224.3599866265877	313	1.0	0.9999971286481247	298	319	335	1.0
tr|A7E420|A7E420_SCLS1	HOG:E0442845	Leotiomycetes	2123.021720458484	253	1.0	0.9999963261742381	253	259	260	1.0
tr|A7E421|A7E421_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	44	N/A	N/A
tr|A7E422|A7E422_SCLS1	HOG:E0832039.1a.6a	Leotiomycetes	2194.504938001914	357	1.0	0.9999973198626055	225	363	386	1.0
tr|A7E423|A7E423_SCLS1	HOG:E1037872.1b	sordariomyceta	794.1629166605843	113	0.6074194767255319	0.560237757094539	93	192	354	0.9109947643979057
tr|A7E424|A7E424_SCLS1	HOG:E1037872.1b	sordariomyceta	103.99784248369262	19	0.24654711170877738	0.14705561676852916	10	83	354	0.9146341463414634
tr|A7E425|A7E425_SCLS1	HOG:E1028216.1a.3b.14b.20a	leotiomyceta	2319.8421602215126	374	1.0	0.9999564720609814	278	380	343	1.0
tr|A7E426|A7E426_SCLS1	HOG:E1027416.8b.5a.7a.5a	sordariomyceta	1189.3291410472038	169	1.0	0.9999905521238511	132	175	172	1.0
tr|A7E427|A7E427_SCLS1	HOG:E0821878.2c	saccharomyceta	2293.392774398555	247	1.0	0.999997322997269	247	253	316	1.0
tr|A7E428|A7E428_SCLS1	HOG:E0441650	Sclerotiniaceae	8820.04281980728	1054	1.0	0.9999938278473335	1054	1063	1091	1.0
tr|A7E429|A7E429_SCLS1	HOG:E0465675.1b	sordariomyceta	1864.563470773901	259	1.0	0.999993172702637	233	265	219	1.0
tr|A7E430|A7E430_SCLS1	HOG:E0801994	saccharomyceta	6727.318356961702	1349	1.0	0.9997420203187893	1349	1356	1329	1.0
tr|A7E431|A7E431_SCLS1	HOG:E0801690.10c.22b	saccharomyceta	3231.695375754646	442	1.0	0.9999608762633667	442	448	440	1.0
tr|A7E432|A7E432_SCLS1	HOG:E0820246.2r	saccharomyceta	5090.110715418446	614	1.0	0.9999856933952412	614	620	692	1.0
tr|A7E433|A7E433_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	179	N/A	N/A
tr|A7E434|A7E434_SCLS1	HOG:E0465365.1b	Helotiales	2417.5628075804425	258	1.0	0.9999986395559892	252	264	263	1.0
tr|A7E435|A7E435_SCLS1	HOG:E0467216.3c.6b	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1)	2505.5692874616443	368	1.0	0.9999989530223511	334	374	373	1.0
sp|A7E436|DBP8_SCLS1	HOG:E0801468.10dbp.5340a	sordariomyceta	3242.527914591422	535	1.0	0.9999785777088253	240	541	545	1.0
tr|A7E437|A7E437_SCLS1	HOG:E0474644	Pezizomycotina	3244.350981510608	489	1.0	0.9999580299888002	489	495	502	1.0
tr|A7E438|A7E438_SCLS1	HOG:E0442237	Helotiales	5372.328735763531	573	1.0	0.9999953418898615	573	579	578	1.0
tr|A7E439|A7E439_SCLS1	HOG:E0464459.2b	Helotiales	1012.8585972117269	104	1.0	0.9999991818527953	96	110	109	1.0
tr|A7E440|A7E440_SCLS1	HOG:E0441077	Sclerotiniaceae	5504.56015529624	555	1.0	0.9999969154909986	555	561	555	1.0
tr|A7E441|A7E441_SCLS1	HOG:E0802445.5c.8a	sordariomyceta	5830.12192595002	1079	1.0	0.9999808785519219	927	1085	1022	1.0
tr|A7E442|A7E442_SCLS1	HOG:E0814862.2b	saccharomyceta	1318.115690782337	184	1.0	0.9999707316457859	184	190	218	1.0
tr|A7E443|A7E443_SCLS1	HOG:E0802531.9b	saccharomyceta	91.20739979312998	18	0.24969549509609024	0.24998824187676374	18	78	127	0.45454545454545453
tr|A7E444|A7E444_SCLS1	HOG:E0801915.4g	saccharomyceta	1206.1831134433442	144	1.0	0.9999910850166666	144	150	147	1.0
tr|A7E445|A7E445_SCLS1	HOG:E1027272.1e.5d.31b	leotiomyceta	1165.7824120274593	125	1.0	0.9999979718726383	22	131	130	1.0
tr|A7E446|A7E446_SCLS1	HOG:E0476430	Pezizomycotina	4685.77523701313	742	1.0	0.9999158969750922	742	748	615	1.0
tr|A7E447|A7E447_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	101	N/A	N/A
tr|A7E448|A7E448_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	112	N/A	N/A
sp|A7E449|DBP2_SCLS1	HOG:E0793126.4h	saccharomyceta	3779.7468108569315	543	1.0	0.9999588073853779	543	573	550	1.0
tr|A7E450|A7E450_SCLS1	HOG:E1034140	saccharomyceta	2429.950961824342	395	1.0	0.9999038003081852	395	401	513	1.0
tr|A7E451|A7E451_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	67	N/A	N/A
tr|A7E452|A7E452_SCLS1	HOG:E0475364.2b.2b	sordariomyceta	2353.480947143447	417	1.0	0.9999956867028598	351	423	419	1.0
tr|A7E453|A7E453_SCLS1	HOG:E0831320	saccharomyceta	1302.565757359219	186	1.0	0.9999703460821606	186	192	181	1.0
tr|A7E454|A7E454_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	94	N/A	N/A
tr|A7E455|A7E455_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	64	N/A	N/A
tr|A7E456|A7E456_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	59	N/A	N/A
tr|A7E457|A7E457_SCLS1	HOG:E0442513	Leotiomycetes	7837.101831448045	954	1.0	0.9999870883205518	954	965	956	1.0
tr|A7E458|A7E458_SCLS1	HOG:E0466335	leotiomyceta	2796.2481660547046	430	1.0	0.9999588167893687	430	436	398	1.0
tr|A7E459|A7E459_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	70	N/A	N/A
tr|A7E460|A7E460_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	85	N/A	N/A
tr|A7E461|A7E461_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	88	N/A	N/A
tr|A7E462|A7E462_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	75	N/A	N/A
tr|A7E463|A7E463_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	48	N/A	N/A
tr|A7E464|A7E464_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	53	N/A	N/A
tr|A7E465|A7E465_SCLS1	HOG:E0805058	saccharomyceta	1723.9285341991101	255	1.0	0.9999575409812756	255	261	260	1.0
tr|A7E466|A7E466_SCLS1	HOG:E1027248.4d	saccharomyceta	1231.3248864556967	138	1.0	0.9999927808696846	138	144	143	1.0
tr|A7E467|A7E467_SCLS1	HOG:E1036154	saccharomyceta	2953.9673813104855	434	1.0	0.9999369744532689	434	440	436	1.0
tr|A7E468|A7E468_SCLS1	HOG:E1027247.1f.7i.17a	Pezizomycotina	1321.4092646073354	145	1.0	0.9999976051169948	49	151	150	1.0
tr|A7E469|A7E469_SCLS1	HOG:E0474695.1b	sordariomyceta	3568.3851031389827	605	1.0	0.9999560645547109	596	617	512	1.0
tr|A7E470|A7E470_SCLS1	HOG:E0464178	sordariomyceta	1376.7272428366284	166	1.0	0.9999889534454054	166	172	128	1.0
sp|A7E471|EIF3C_SCLS1	HOG:E0801827	saccharomyceta	4726.671777402974	857	1.0	0.9998682218761051	857	871	861	1.0
tr|A7E472|A7E472_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	32	N/A	N/A
tr|A7E473|A7E473_SCLS1	HOG:E0440879	Sclerotiniaceae	1594.4072269734231	157	1.0	0.9999991755834682	157	163	149	1.0
tr|A7E474|A7E474_SCLS1	HOG:E0477488	saccharomyceta	5547.526350511094	1098	1.0	0.9997682417799654	1098	1104	1160	1.0
tr|A7E475|A7E475_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	36	N/A	N/A
tr|A7E476|A7E476_SCLS1	HOG:E0475198	Pezizomycotina	4980.635560357821	837	1.0	0.9999166461596973	837	843	896	1.0
tr|A7E477|A7E477_SCLS1	HOG:E0476435	Pezizomycotina	3386.5457317861355	424	1.0	0.9999831480483823	424	430	400	1.0
tr|A7E478|A7E478_SCLS1	HOG:E0816204.1a.3a	Sclerotiniaceae	1328.1705330122625	186	1.0	0.9999996583216655	109	192	191	1.0
tr|A7E479|A7E479_SCLS1	HOG:E0804397.1a	saccharomyceta	3385.7890876599986	536	1.0	0.9999328210239732	536	550	535	1.0
tr|A7E480|A7E480_SCLS1	HOG:E0803512	saccharomyceta	1714.8100398293932	247	1.0	0.9999540332926855	247	253	247	1.0
tr|A7E481|A7E481_SCLS1	HOG:E1033226.3a.9a	sordariomyceta	1388.7649148682565	185	1.0	0.9999940911590776	112	191	179	1.0
tr|A7E482|A7E482_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	192	N/A	N/A
tr|A7E483|A7E483_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	67	N/A	N/A
tr|A7E484|A7E484_SCLS1	HOG:E1029389.12a	Pezizomycotina	2123.8556130322822	297	1.0	0.9999694432990384	252	303	302	1.0
tr|A7E485|A7E485_SCLS1	HOG:E0803262	saccharomyceta	5707.4980247109615	1140	1.0	0.9997206231049234	1140	1146	1318	1.0
tr|A7E486|A7E486_SCLS1	HOG:E0801468.10lut	saccharomyceta	7781.556029772716	1594	1.0	0.9998057354915166	1594	1602	1494	1.0
tr|A7E487|A7E487_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	73	N/A	N/A
tr|A7E488|A7E488_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	192	N/A	N/A
tr|A7E489|A7E489_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	69	N/A	N/A
tr|A7E490|A7E490_SCLS1	HOG:E0469220	leotiomyceta	20.42288819022656	9	0.0311439494052542	N/A	N/A	291	611	0.2206896551724138
tr|A7E491|A7E491_SCLS1	HOG:E0478158.6b.1b	Helotiales	872.8138153340509	127	1.0	0.9999997272842651	87	133	132	1.0
tr|A7E492|A7E492_SCLS1	HOG:E0792972.3b.2b	saccharomyceta	3084.9415845579047	506	1.0	0.9999105555082849	506	513	552	1.0
tr|A7E493|A7E493_SCLS1	HOG:E0483100	saccharomyceta	3395.261161919899	560	1.0	0.9999064146176437	560	566	581	1.0
tr|A7E494|A7E494_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	101	N/A	N/A
tr|A7E495|A7E495_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	57	N/A	N/A
tr|A7E496|A7E496_SCLS1	HOG:E0441384	Sclerotiniaceae	3471.859650795537	329	1.0	0.999998097259183	329	335	314	1.0
tr|A7E497|A7E497_SCLS1	HOG:E0465237	sordariomyceta	4432.149484330219	507	1.0	0.9999914423683192	507	513	507	1.0
tr|A7E498|A7E498_SCLS1	HOG:E0441383	Sclerotiniaceae	6065.25658949403	615	1.0	0.9999971129748065	615	621	552	1.0
tr|A7E499|A7E499_SCLS1	HOG:E0802109.9jf	saccharomyceta	28.71775585342807	13	0.03240486820110707	N/A	N/A	399	598	0.32160804020100503
tr|A7E4A0|A7E4A0_SCLS1	HOG:E0442205	Helotiales	5538.497726760468	595	1.0	0.9999954233911157	595	601	600	1.0
tr|A7E4A1|A7E4A1_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	188	N/A	N/A
tr|A7E4A2|A7E4A2_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	89	N/A	N/A
tr|A7E4A3|A7E4A3_SCLS1	HOG:E0441382	Sclerotiniaceae	2317.0059325659745	216	1.0	0.9999983135509728	216	222	290	1.0
tr|A7E4A4|A7E4A4_SCLS1	HOG:E0442170	Helotiales	657.5764215543986	62	1.0	0.9999995423391116	62	68	67	1.0
tr|A7E4A5|A7E4A5_SCLS1	HOG:E0442361.3d	Sclerotiniaceae	3430.831381384892	452	1.0	0.999999736688256	84	458	457	1.0
tr|A7E4A6|A7E4A6_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	51	N/A	N/A
tr|A7E4A7|A7E4A7_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	50	N/A	N/A
tr|A7E4A8|A7E4A8_SCLS1	HOG:E0441381	Sclerotiniaceae	5647.086877963222	592	1.0	0.999996417079483	592	598	646	1.0
tr|A7E4A9|A7E4A9_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	79	N/A	N/A
tr|A7E4B0|A7E4B0_SCLS1	HOG:E0478559.1b.1b	sordariomyceta	2399.4462684103323	386	1.0	0.9999964296181375	344	392	382	1.0
tr|A7E4B1|A7E4B1_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	73	N/A	N/A
tr|A7E4B2|A7E4B2_SCLS1	HOG:E0801582.10ax	saccharomyceta	4294.437155398403	624	1.0	0.9999729353143104	624	630	646	1.0
tr|A7E4B4|A7E4B4_SCLS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	95	N/A	N/A
tr|A7E4B5|A7E4B5_SCLS1	HOG:E0476295	Pezizomycotina	1727.3173623275854	257	1.0	0.999961349597573	257	263	253	1.0
tr|A7E4B6|A7E4B6_SCLS1	HOG:E0804287	saccharomyceta	970.9806855646127	146	1.0	0.999978151394573	146	154	141	1.0
tr|A7E4B7|A7E4B7_SCLS1	HOG:E0802056.6i.14b.19a	saccharomyceta	4302.985543275343	695	1.0	0.9999258025121294	695	701	489	1.0
tr|A7E4B8|A7E4B8_SCLS1	HOG:E1027606.4c	sordariomyceta	2457.1455807569387	374	1.0	0.9999819255295708	314	380	370	1.0
tr|A7E4B9|A7E4B9_SCLS1	HOG:E0478556.2a.3b	sordariomyceta	1633.9528929084343	231	1.0	0.9999887967122243	188	237	232	1.0
